crossing_code,payment_type,toll_class,day_of_week_mask,window_start,window_end,amount_cents,effective_date
BAYONNE,EZPASS,PASSENGER,1111100,20:00,24:00,1479,2026-01-04
BAYONNE,EZPASS,PASSENGER,0000011,00:00,11:00,1479,2026-01-04
BAYONNE,EZPASS,PASSENGER,0000011,11:00,21:00,1679,2026-01-04
BAYONNE,EZPASS,PASSENGER,0000011,21:00,24:00,1479,2026-01-04
BAYONNE,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,2330,2026-01-04
GOETHALS,EZPASS,PASSENGER,1111100,00:00,06:00,1479,2026-01-04
GOETHALS,EZPASS,PASSENGER,1111100,06:00,10:00,1679,2026-01-04
GOETHALS,EZPASS,PASSENGER,1111100,10:00,16:00,1479,2026-01-04
GOETHALS,EZPASS,PASSENGER,1111100,16:00,20:00,1679,2026-01-04
GOETHALS,EZPASS,PASSENGER,1111100,20:00,24:00,1479,2026-01-04
GOETHALS,EZPASS,PASSENGER,0000011,00:00,11:00,1479,2026-01-04
GOETHALS,EZPASS,PASSENGER,0000011,11:00,21:00,1679,2026-01-04
GOETHALS,EZPASS,PASSENGER,0000011,21:00,24:00,1479,2026-01-04
GOETHALS,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,2330,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,1111100,00:00,06:00,1479,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,1111100,06:00,10:00,1679,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,1111100,10:00,16:00,1479,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,1111100,16:00,20:00,1679,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,1111100,20:00,24:00,1479,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,0000011,00:00,11:00,1479,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,0000011,11:00,21:00,1679,2026-01-04
OUTERBRIDGE,EZPASS,PASSENGER,0000011,21:00,24:00,1479,2026-01-04
OUTERBRIDGE,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,2330,2026-01-04
VERRAZZANO,EZPASS,PASSENGER,1111111,00:00,24:00,746,2026-01-04
VERRAZZANO,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1203,2026-01-04
RFK,EZPASS,PASSENGER,1111111,00:00,24:00,746,2026-01-04
RFK,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1203,2026-01-04
QUEENSMID,EZPASS,PASSENGER,1111111,00:00,24:00,746,2026-01-04
QUEENSMID,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1203,2026-01-04
HUGHCAREY,EZPASS,PASSENGER,1111111,00:00,24:00,746,2026-01-04
HUGHCAREY,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1203,2026-01-04
WHITESTONE,EZPASS,PASSENGER,1111111,00:00,24:00,746,2026-01-04
WHITESTONE,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1203,2026-01-04
THROGSNECK,EZPASS,PASSENGER,1111111,00:00,24:00,746,2026-01-04
THROGSNECK,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1203,2026-01-04
HENRYHUDSON,EZPASS,PASSENGER,1111111,00:00,24:00,342,2026-01-04
HENRYHUDSON,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,887,2026-01-04
NJTPK,EZPASS,PASSENGER,1111111,00:00,24:00,2188,2026-01-01
NJTPK,CASH,PASSENGER,1111111,00:00,24:00,2200,2026-01-01
GSP,EZPASS,PASSENGER,1111111,00:00,24:00,230,2026-01-01
GSP,CASH,PASSENGER,1111111,00:00,24:00,255,2026-01-01
CUOMOBRIDGE,EZPASS,PASSENGER,1111111,00:00,24:00,725,2026-01-01
CUOMOBRIDGE,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,1269,2026-01-01
THRUWAY,EZPASS,PASSENGER,1111111,00:00,24:00,423,2026-01-01
THRUWAY,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,522,2026-01-01
